TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=RECKITTBEN,RECKITTBEN,"4,760.7","4,760.7","4,760.7","4,760.7","4,760.7",0,8,0.186,39
https://www.dsebd.org/displayCompany.php?name=UNILEVERCL,UNILEVERCL,"2,987.6","3,098","2,975","2,987.6","3,091",-103.4,736,21.187,"7,070"
https://www.dsebd.org/displayCompany.php?name=MARICO,MARICO,"2,421.5","2,421.5","2,421.5","2,421.5","2,421.5",0,15,1.121,463
https://www.dsebd.org/displayCompany.php?name=BERGERPBL,BERGERPBL,"1,723.6","1,732.5","1,718","1,723.6","1,732.7",-9.1,43,1.742,"1,011"
https://www.dsebd.org/displayCompany.php?name=EASTRNLUB,EASTRNLUB,"1,531.3","1,531.3","1,531.3","1,531.3","1,531.3",0,31,0.423,276
https://www.dsebd.org/displayCompany.php?name=LINDEBD,LINDEBD,"1,397.7","1,397.7","1,397.7","1,397.7","1,397.7",0,12,0.827,592
https://www.dsebd.org/displayCompany.php?name=RENATA,RENATA,"1,217.9","1,217.9","1,217.9","1,217.9","1,217.9",0,17,0.11,90
https://www.dsebd.org/displayCompany.php?name=WALTONHIL,WALTONHIL,"1,047.7","1,047.7","1,047.7","1,047.7","1,047.7",0,1,0.005,5
https://www.dsebd.org/displayCompany.php?name=BATASHOE,BATASHOE,959.9,959.9,955,955.9,951.3,8.6,8,0.117,122
https://www.dsebd.org/displayCompany.php?name=MONNOAGML,MONNOAGML,931.2,942,875.1,931.2,884.6,46.6,"1,069",25.016,"27,552"
https://www.dsebd.org/displayCompany.php?name=PHARMAID,PHARMAID,790.7,790.7,790.7,790.7,790.7,0,1,0.002,2
https://www.dsebd.org/displayCompany.php?name=RENWICKJA,RENWICKJA,750.1,750.2,750.1,750.1,750.4,-0.3,42,1.1,"1,467"
https://www.dsebd.org/displayCompany.php?name=LIBRAINFU,LIBRAINFU,668.6,699,668.6,668.8,668.6,0,11,0.088,132
https://www.dsebd.org/displayCompany.php?name=SONALIPAPR,SONALIPAPR,662.2,669.9,625.1,662.2,631.1,31.1,"1,096",79.903,"121,067"
https://www.dsebd.org/displayCompany.php?name=NTC,NTC,598.3,600,598.3,598.5,599,-0.7,40,0.768,"1,282"
https://www.dsebd.org/displayCompany.php?name=BATBC,BATBC,518.7,518.7,518.7,518.7,518.7,0,30,0.249,481
https://www.dsebd.org/displayCompany.php?name=AMBEEPHA,AMBEEPHA,481.8,485.9,480.2,481.8,480.9,0.9,8,0.034,71
https://www.dsebd.org/displayCompany.php?name=GEMINISEA,GEMINISEA,450,454.5,443,450,443.3,6.7,"2,121",45.908,"102,210"
https://www.dsebd.org/displayCompany.php?name=KOHINOOR,KOHINOOR,406.3,409.9,405,406.3,406.9,-0.6,195,3.305,"8,129"
https://www.dsebd.org/displayCompany.php?name=SONALIANSH,SONALIANSH,402,405,399.2,402,399.2,2.8,571,10.222,"25,479"
https://www.dsebd.org/displayCompany.php?name=SEAPEARL,SEAPEARL,308.2,310.2,285,308.2,295.5,12.7,"4,227",295.8,"986,829"
https://www.dsebd.org/displayCompany.php?name=APEXFOOT,APEXFOOT,291.9,299.5,288,291.9,294.3,-2.4,"1,514",38.72,"131,935"
https://www.dsebd.org/displayCompany.php?name=ORIONINFU,ORIONINFU,291.1,297.7,288,291.1,291.2,-0.1,"1,977",46.374,"158,361"
https://www.dsebd.org/displayCompany.php?name=IBNSINA,IBNSINA,286.6,286.6,286.6,286.6,286.6,0,17,0.806,"2,813"
https://www.dsebd.org/displayCompany.php?name=GP,GP,286.6,286.6,286.6,286.6,286.6,0,14,0.155,542
https://www.dsebd.org/displayCompany.php?name=BEACONPHAR,BEACONPHAR,278.7,280.8,270.1,278.7,272.5,6.2,473,29.477,"106,222"
https://www.dsebd.org/displayCompany.php?name=ACI,ACI,260.2,260.2,260.2,260.2,260.2,0,9,0.881,"3,385"
https://www.dsebd.org/displayCompany.php?name=ARAMIT,ARAMIT,258.9,258.9,258.9,258.9,258.9,0,51,1.262,"4,876"
https://www.dsebd.org/displayCompany.php?name=JMISMDL,JMISMDL,255.5,255.5,255.5,255.5,255.5,0,3,0.017,67
https://www.dsebd.org/displayCompany.php?name=BDLAMPS,BDLAMPS,252.2,252.2,252.2,252.2,252.2,0,14,0.362,"1,434"
https://www.dsebd.org/displayCompany.php?name=AMCL(PRAN),AMCL(PRAN),252,252,252,252,252,0,13,0.118,470
https://www.dsebd.org/displayCompany.php?name=MONOSPOOL,MONOSPOOL,250.6,253.5,248.4,250.6,248.4,2.2,587,10.434,"41,589"
https://www.dsebd.org/displayCompany.php?name=JUTESPINN,JUTESPINN,245,245,236.5,239.8,246.1,-1.1,43,0.582,"2,431"
https://www.dsebd.org/displayCompany.php?name=RAHIMAFOOD,RAHIMAFOOD,237.7,237.7,237.7,237.7,237.7,0,1,0.005,20
https://www.dsebd.org/displayCompany.php?name=APEXFOODS,APEXFOODS,235.4,243.3,233,235.4,238.6,-3.2,426,8.803,"37,221"
https://www.dsebd.org/displayCompany.php?name=UPGDCL,UPGDCL,233.7,233.7,233.7,233.7,233.7,0,4,0.003,11
https://www.dsebd.org/displayCompany.php?name=KAY&QUE,KAY&QUE,223.4,223.4,223.4,223.4,223.4,0,3,0.018,81
https://www.dsebd.org/displayCompany.php?name=BSCCL,BSCCL,218.9,218.9,218.9,218.9,218.9,0,4,0.146,665
