book name,book url,book price,book stock,
A Light in the Attic,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,£51.77,In stock (22 available),
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,£47.82,In stock (20 available),
Sapiens: A Brief History of Humankind,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,£54.23,In stock (20 available),
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,£53.74,In stock (20 available),
Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html,£50.10,In stock (20 available),
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60,In stock (19 available),
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,£22.65,In stock (19 available),
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93,In stock (19 available),
The Dirty Little Secrets of Getting Your Dream Job,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34,In stock (19 available),
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,£52.15,In stock (19 available),
"Starving Hearts (Triangular Trade Trilogy, #1)",http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99,In stock (19 available),
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html,£17.46,In stock (19 available),
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,£20.66,In stock (19 available),
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25,In stock (19 available),
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,£45.17,In stock (19 available),
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,£51.33,In stock (19 available),
Mesaerion: The Best Science Fiction Stories 1800-1849,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59,In stock (19 available),
Olio,http://books.toscrape.com/catalogue/olio_984/index.html,£23.88,In stock (19 available),
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29,In stock (19 available),
Rip it Up and Start Again,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,£35.02,In stock (19 available),
Chase Me (Paris Nights #2),http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,£25.27,In stock (19 available),
How Music Works,http://books.toscrape.com/catalogue/how-music-works_979/index.html,£37.32,In stock (19 available),
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,£30.52,In stock (19 available),
In Her Wake,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,£12.84,In stock (19 available),
Black Dust,http://books.toscrape.com/catalogue/black-dust_976/index.html,£34.53,In stock (19 available),
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,£22.50,In stock (19 available),
Birdsong: A Story in Pictures,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,£54.64,In stock (19 available),
Aladdin and His Wonderful Lamp,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,£53.13,In stock (19 available),
Worlds Elsewhere: Journeys Around Shakespeare‚Äôs Globe,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,£40.30,In stock (18 available),
Wall and Piece,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,£44.18,In stock (18 available),
The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,£17.66,In stock (18 available),
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,£31.05,In stock (18 available),
The Elephant Tree,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,£23.82,In stock (18 available),
The Bear and the Piano,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,£36.89,In stock (18 available),
Sophie's World,http://books.toscrape.com/catalogue/sophies-world_966/index.html,£15.94,In stock (18 available),
You can't bury them all: Poems,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,£33.63,In stock (17 available),
"At The Existentialist Caf√©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,£29.93,In stock (7 available),
The Nicomachean Ethics,http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,£36.34,In stock (1 available),
"Run, Spot, Run: The Ethics of Keeping Pets",http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,£20.02,In stock (2 available),
Meditations,http://books.toscrape.com/catalogue/meditations_33/index.html,£25.89,In stock (1 available),
